# id	left	top	right	bottom	texture_id

[SPRITES]
##### GREEN #####
81111	7	108	23	131
81112	7	137	23	161


##### GREEN FIRE #####
# LEFT
81121	6	166	22	190
81122	6	195	22	219

# RIGHT
81131	626	166	642	190
81132	626	195	642	219


##### RED FIRE #####
# LEFT
81211	7	33	23	65
81212	7	71	23	103

# RIGHT
81221	625	33	641	65
81222	625	71	641	103




# ani_id	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]
# GREEN
7000	81111	1000	81112	1000

# GREEN FIRE
7001	81121	1000	81122	1000
7011	81131	1000	81132	1000

# RED FIRE
7002	81211	1000	81212	1000
7012	81221	1000	81222	1000
