# id	left	top	right	bottom	texture_id

[SPRITES]
##### GROUND #####
# Top
51101	443	154	458	169	20
51102	460	154	475	169	20
51103	477	154	492	169	20

# Bottom
51201	443	171	458	186	20
51202	460	171	475	186	20
51203	477	171	492	186	20


##### CLOUD #####
52000	698	1	713	16	20


##### TREE #####
# Top
53101	307	307	322	322	20
53102	324	307	339	322	20

# Down border
53201	307	324	322	339	20
53202	324	324	339	339	20

# Inner
53300	340	323	357	340	20


##### PIPE #####
# Top
54101	69	35	84	50	20
54102	86	35	101	50	20

# Down
54201	69	52	84	67	20
54202	86	52	101	67	20


##### RECTANGLE	#####
# Pink
# Top 
55111	919	137	934	152	20
55112	936	137	951	152	20
55113	953	137	968	152	20

# Mid
55121	919	154	934	169	20
55122	936	154	951	169	20
55123	953	154	968	169	20

# Bottom
55131	919	171	934	186	20
55132	936	171	951	186	20
55133	953	171	968	186	20


# Blue
# Top 
55211	970	137	985	152	20
55212	987	137	1002	152	20
55213	1004	137	1019	152	20

# Mid
55221	970	154	985	169	20
55222	987	154	1002	169	20
55223	1004	154	1019	169	20

# Bottom
55231	970	171	985	186	20
55232	987	171	1002	186	20
55233	1004	171	1019	186	20


# Green
# Top 
55311	919	188	934	203	20
55312	936	188	951	203	20
55313	953	188	968	203	20

# Mid
55321	919	205	934	220	20
55322	936	205	951	220	20
55323	953	205	968	220	20

# Bottom
55331	919	222	934	237	20
55332	936	222	951	237	20
55333	953	222	968	237	20


# White
# Top 
55411	970	188	985	203	20
55412	987	188	1002	203	20
55413	1004	188	1019	203	20

# Mid
55421	970	205	985	220	20
55422	987	205	1002	220	20
55423	1004	205	1019	220	20

# Bottom
55431	970	222	985	237	20
55432	987	222	1002	237	20
55433	1004	222	1019	237	20


# EDGE
55511	698	69	713	84	20
55512	698	86	713	101	20


# TREE
# Top
55611	715	69	730	84	20
55612	732	69	747	84	20

# Bottom
55621	715	86	730	101	20
55622	732	86	747	101	20


##### SQUARE #####
55631	698	35	713	50	20


#### GIFT BOX #####
55641	650	106	675	131	20


##### EFFECT #####
# Mario's tail attacked enemies
55711	19	19	36	35	50
55712	19	1	36	17	50
55713	1	1	18	17	50
55714	1	19	18	35	50

# Big Mario eat SuperLeaf
55721	75	2	88	15	50
55722	93	1	106	14	50
55723	37	0	54	17	50
55724	57	2	70	15	50




# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# Big Mario eating SuperLeaf
9000	55721	50	55722	50	55723	50	55724	50	55721	50	55722	50

# Mario's tail attacked enemies
9100	55711	100	55712	100	55713	100	55714	100
