# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
glassbrick.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	10	10

# GLASS BRICK
1	0	148
1	0	164

1	0	180
1	16	180
1	32	180
1	48	180
1	64	180
1	80	180
1	96	180
1	112	180
1	128	180
1	144	180
1	160	180
1	176	180
1	192	180
1	208	180
1	224	180
1	240	180
1	256	180
1	272	180
1	288	180
1	304	180
1	320	180
1	336	180
1	352	180

1	352	148
1	352	164

#COIN
4	100	140
4	120	140
4	140	140
4	160	140
4	180	140
4	200	140

#Goomba
2	500	10
2	600	10
2	700	10

#Platform
#5	90	136	16	16	16	51000	52000	53000
#5	0	200	16	16	50	20001	20001	20001
#5	850	200	16	16	50	20001	20001	20001

#Portal 
0	300	110	316	140	2
