# list of object assets to load in this scene




##### SIZE OF EACH OBJECTS #####
# Mario Small	13 x 12
# Mario Big		14 x 24
# Mario Racoon	(14 + 5) x 25
# Brick			15 x 16
# Goomba		16 x 11
# Koopa Troopa	14 x 24
# Coin			15 x 16
# Piranha Plant 15 x 23
# Ground		15 x 15
# Cloud			15 x 15
# Tree			15 x 15
# Rectangle		15 x 15
# Pipe			15 x 15




##### SYNTAX #####
# See OBJECT_TYPE constants in AssetIDs.h

# type	x	y	extra_settings per object type
# type: 
# 0 = Mario, 
# 1 = Brick, 
# 2 = Goomba, 
# 3 = Koopa Troopa, 
# 4 = Coin, 
# 5 = Platform, 
# 9 = Piranha Plant, 
# 7 = Invisible Object,
# 8 = Teleport Gate,
# 9 = Platform Animate

# PIRANHA PLANT	id	x	y	type(green = 1, green fire = 2, red fire = 3)
# GOOMBA	id	x	y	type(normal = 1, red = 2)	level(normal = 1, para = 2)
# KOOPA TROOPA	id	x	y	type(red = 1, green = 2)	level(normal = 1, para = 2)
# PLATFORM	id	x	y	width	height	length	begin	middle	end	type(block = 1, normal = 2, no collision = 3)
# BRICK	type	x	y	type(gold = 1, question = 2)	object_type(none = 0, super mushroom/leaf = 1, coin = 2, 1up = 3, pswitch = 4);
# TELEPORT GATE	x	y	des_x	des_y	direction(down: 0, up: 1)
# PORTAL	left	top	right	bottom	scene_id	type(worldmap: 1, level: 2)
# PLATFORM ANIMATE	id	x	y	AniOrSprite	Type(block: 0, gate: 1)	IsAni(0: sprite, 1: ani)




[ASSETS]
hud.txt
misc.txt
mario.txt
grassland.txt
[OBJECTS]
# MARIO
0	60	49

# PLATFORM ANIMATE
9	44	17	20000	1	1
9	60	17	20000	1	1
9	76	17	20000	1	1
9	228	17	20000	1	1
9	244	17	20000	1	1

9	44	33	20000	1	1
9	60	33	20000	1	1
9	76	33	20000	1	1
9	108	33	20000	1	1
9	124	33	20000	1	1
9	140	33	20000	1	1
9	172	33	20000	1	1
9	188	33	20000	1	1
9	204	33	20000	1	1
9	228	33	20000	1	1
9	244	33	20000	1	1

9	108	49	20000	1	1
9	124	49	20000	1	1
9	140	49	20000	1	1
9	228	49	20000	1	1
9	244	49	20000	1	1

9	44	65	20000	1	1
9	60	65	20000	1	1
9	76	65	20000	1	1
9	108	65	20000	1	1
9	124	65	20000	1	1
9	140	65	20000	1	1
9	172	65	20000	1	1
9	188	65	20000	1	1
9	204	65	20000	1	1
9	228	65	20000	1	1
9	244	65	20000	1	1

9	44	81	20000	1	1
9	60	81	20000	1	1
9	76	81	20000	1	1
9	172	81	20000	1	1
9	188	81	20000	1	1
9	244	81	20000	1	1

9	44	97	20000	1	1
9	124	97	20000	1	1
9	140	97	20000	1	1
9	156	97	20000	1	1
9	244	97	20000	1	1

9	244	113	20000	1	1
9	244	129	20000	1	1
9	244	145	20000	1	1


# PORTAL
50	92	17	100	30	2	2
50	156	17	164	30	2	2
50	188	17	196	30	2	2
50	188	49	196	62	2	2
50	92	146	100	153	2	2
50	156	146	164	153	2	2


# SYMBOL HELP
9	228	97	20001	1	1


# START
9	60	49	80000	2	0


# SCENE
9	92	17	80010	2	0
9	156	17	80011	2	0
9	188	17	80012	2	0
9	188	49	80013	2	0
9	92	146	80014	2	0
9	156	146	80015	2	0
